"Source:","/media/andi/PortableApps/home assistant/KiCAD/CC dimmer low voltage/CC dimmer low voltage.kicad_sch"
"Date:","Wed 29 Dec 2021 11:27:57 CET"
"Tool:","Eeschema 6.0.0-d3dd2cf0fa~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","99"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC","Purchase"
"","","LED6","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","https://datasheet.lcsc.com/lcsc/1810161730_HIWA-PA001-2P_C128027.pdf","C128027","https://www.lcsc.com/product-detail/Screw-terminal_HIWA-PA001-2P_C128027.html"
"","","LED7","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","https://datasheet.lcsc.com/lcsc/1810161730_HIWA-PA001-2P_C128027.pdf","C128027","https://www.lcsc.com/product-detail/Screw-terminal_HIWA-PA001-2P_C128027.html"
"","","LED8","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","https://datasheet.lcsc.com/lcsc/1810161730_HIWA-PA001-2P_C128027.pdf","C128027","https://www.lcsc.com/product-detail/Screw-terminal_HIWA-PA001-2P_C128027.html"
"","","Q101","BR50P06","Transistor_FET:FQP27P06","Package_TO_SOT_THT:TO-220-3_Vertical","https://datasheet.lcsc.com/lcsc/1912111437_Foshan-Blue-Rocket-Elec-BR50P06_C358396.pdf","C358396","https://www.lcsc.com/product-detail/MOSFETs_Foshan-Blue-Rocket-Elec-BR50P06_C358396.html"
"","","R11","0R36","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2111100930_Milliohm-HoLTT0805-1-8W-360mR-1-_C2904550.pdf","C2904550","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Milliohm-HoLTT0805-1-8W-360mR-1_C2904550.html"
"","","R12","68","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2111021130_FOJAN-FRC0805J680-TS_C2907341.pdf","C2907341","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0805J680-TS_C2907341.html"
"","","R21","0R36","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2111100930_Milliohm-HoLTT0805-1-8W-360mR-1-_C2904550.pdf","C2904550","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Milliohm-HoLTT0805-1-8W-360mR-1_C2904550.html"
"","","R22","68","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2111021130_FOJAN-FRC0805J680-TS_C2907341.pdf","C2907341","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0805J680-TS_C2907341.html"
"","","R31","0R36","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2111100930_Milliohm-HoLTT0805-1-8W-360mR-1-_C2904550.pdf","C2904550","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Milliohm-HoLTT0805-1-8W-360mR-1_C2904550.html"
"","","R32","68","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2111021130_FOJAN-FRC0805J680-TS_C2907341.pdf","C2907341","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0805J680-TS_C2907341.html"
"","","R41","0R36","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2111100930_Milliohm-HoLTT0805-1-8W-360mR-1-_C2904550.pdf","C2904550","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Milliohm-HoLTT0805-1-8W-360mR-1_C2904550.html"
"","","R42","68","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2111021130_FOJAN-FRC0805J680-TS_C2907341.pdf","C2907341","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0805J680-TS_C2907341.html"
"","","R51","0R36","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2111100930_Milliohm-HoLTT0805-1-8W-360mR-1-_C2904550.pdf","C2904550","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Milliohm-HoLTT0805-1-8W-360mR-1_C2904550.html"
"","","R52","68","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2111021130_FOJAN-FRC0805J680-TS_C2907341.pdf","C2907341","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0805J680-TS_C2907341.html"
"","","R61","0R36","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2111100930_Milliohm-HoLTT0805-1-8W-360mR-1-_C2904550.pdf","C2904550","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Milliohm-HoLTT0805-1-8W-360mR-1_C2904550.html"
"","","R62","68","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2111021130_FOJAN-FRC0805J680-TS_C2907341.pdf","C2907341","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0805J680-TS_C2907341.html"
"","","R71","0R36","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2111100930_Milliohm-HoLTT0805-1-8W-360mR-1-_C2904550.pdf","C2904550","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Milliohm-HoLTT0805-1-8W-360mR-1_C2904550.html"
"","","R72","68","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2111021130_FOJAN-FRC0805J680-TS_C2907341.pdf","C2907341","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0805J680-TS_C2907341.html"
"","","R81","0R36","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2111100930_Milliohm-HoLTT0805-1-8W-360mR-1-_C2904550.pdf","C2904550","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Milliohm-HoLTT0805-1-8W-360mR-1_C2904550.html"
"","","R82","68","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2111021130_FOJAN-FRC0805J680-TS_C2907341.pdf","C2907341","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0805J680-TS_C2907341.html"
"","","R101","82k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1912111437_YAGEO-AC0805JR-0782KL_C229256.pdf","C229256","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-AC0805JR-0782KL_C229256.html"
"","","R201","3k9","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2110260130_UNI-ROYAL-Uniroyal-Elec-0805W8J0392T5E_C26021.pdf","C26021","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0805W8J0392T5E_C26021.html"
"","","R311","10k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1811141124_FH-Guangdong-Fenghua-Advanced-Tech-RS-05K103JT_C115295.pdf","C115295","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FH-Guangdong-Fenghua-Advanced-Tech-RS-05K103JT_C115295.html"
